tradeTime,price,livingRoom,drawingRoom,bathRoom,floor
2012-02-10,5.16524622254599e+23,2222.2,2222.2,2222.2,2222.2
2012-02-11,1.615836872883193e+53,1010101010.0909091,1010101010.0909091,1010101010.0909091,1010101010.0909091
2012-02-12,1.5336170288237148e+73,7407407407407.4,7407407407407.4,7407407407407.4,7407407407407.4
2012-02-13,58284326979150.664,37.0,37.0,37.0,37.0
2012-02-14,3.5328003182320804e+18,277.75,277.75,277.75,277.75
2012-02-15,1.826582705889015e+43,12345679.0,12345679.0,12345679.0,12345679.0
2012-02-16,3.2646950637870553e+28,18518.5,18518.5,18518.5,18518.5
2012-02-17,5.846045530387509e+18,277.75,277.75,277.75,277.75
2012-02-18,1.2938788128131146e+73,7407407407407.4,7407407407407.4,7407407407407.4,7407407407407.4
2012-02-19,8.330488626061969e+113,4.6296296296296297e+21,4.6296296296296297e+21,4.6296296296296297e+21,4.6296296296296297e+21
2012-02-20,2.0682506825048135e+43,12345679.0,12345679.0,12345679.0,12345679.0
2012-02-21,3.116038516923639e+28,18518.5,18518.5,18518.5,18518.5
2012-02-22,2.983877857048621e+27,18518.5,18518.5,18518.5,18518.5
2012-02-23,5.865369037098105e+28,18518.5,18518.5,18518.5,18518.5
2012-02-24,5.5890485282662856e+23,2222.2,2222.2,2222.2,2222.2
2012-02-25,1.2991584558808735e+68,793650793650.7858,793650793650.7858,793650793650.7858,793650793650.7858
2012-02-26,9.875819586919631e+102,5.291005291005292e+18,5.291005291005292e+18,5.291005291005292e+18,5.291005291005292e+18
2012-02-27,2.2313582824985023e+43,12345679.0,12345679.0,12345679.0,12345679.0
2012-02-28,2.2456832213750133e+43,12345679.0,12345679.0,12345679.0,12345679.0
2012-02-29,3.071183168849403e+33,158730.14285714287,158730.14285714287,158730.14285714287,158730.14285714287
2012-03-01,4.067179513313334e+33,158730.14285714287,158730.14285714287,158730.14285714287,158730.14285714287
2012-03-02,4.9092623967619255e+23,2222.2,2222.2,2222.2,2222.2
2012-03-03,9.862477513058252e+82,653594771241830.1,653594771241830.1,653594771241830.1,653594771241830.1
2012-03-04,9.072469310491867e+102,5.291005291005292e+18,5.291005291005292e+18,5.291005291005292e+18,5.291005291005292e+18
